municipality,parent_name,point_index,group_id,group_title,score
"""Мосрентген""",Новомосковский,13,social_infrastructure,Социальная инфраструктура,61.970000
"""Мосрентген""",Новомосковский,13,commercial_household,Коммерческая и бытовая инфраструктура,30.760000
"""Мосрентген""",Новомосковский,13,recreation_environment,Рекреация и экологическая комфортность,42.470000
"""Мосрентген""",Новомосковский,13,safety_economic_stability,Безопасность и экономическая стабильность района,87.670000
"""Мосрентген""",Новомосковский,14,transport_accessibility,Транспортная доступность,66.270000
"""Мосрентген""",Новомосковский,14,social_infrastructure,Социальная инфраструктура,69.710000
"""Мосрентген""",Новомосковский,14,commercial_household,Коммерческая и бытовая инфраструктура,67.700000
"""Мосрентген""",Новомосковский,14,recreation_environment,Рекреация и экологическая комфортность,47.810000
"""Мосрентген""",Новомосковский,14,safety_economic_stability,Безопасность и экономическая стабильность района,92.580000
"""Мосрентген""",Новомосковский,15,transport_accessibility,Транспортная доступность,79.920000
"""Мосрентген""",Новомосковский,15,social_infrastructure,Социальная инфраструктура,58.210000
"""Мосрентген""",Новомосковский,15,commercial_household,Коммерческая и бытовая инфраструктура,67.580000
"""Мосрентген""",Новомосковский,15,recreation_environment,Рекреация и экологическая комфортность,51.450000
"""Мосрентген""",Новомосковский,15,safety_economic_stability,Безопасность и экономическая стабильность района,66.960000
"""Мосрентген""",Новомосковский,16,transport_accessibility,Транспортная доступность,71.450000
"""Мосрентген""",Новомосковский,16,social_infrastructure,Социальная инфраструктура,65.540000
"""Мосрентген""",Новомосковский,16,commercial_household,Коммерческая и бытовая инфраструктура,35.980000
"""Мосрентген""",Новомосковский,16,recreation_environment,Рекреация и экологическая комфортность,47.160000
"""Мосрентген""",Новомосковский,16,safety_economic_stability,Безопасность и экономическая стабильность района,72.560000
"""Мосрентген""",Новомосковский,17,transport_accessibility,Транспортная доступность,66.380000
"""Мосрентген""",Новомосковский,17,social_infrastructure,Социальная инфраструктура,71.890000
"""Мосрентген""",Новомосковский,17,commercial_household,Коммерческая и бытовая инфраструктура,69.380000
"""Мосрентген""",Новомосковский,17,recreation_environment,Рекреация и экологическая комфортность,54.630000
