municipality,parent_name,point_index,profile,profile_title,profile_weight,score
"""Мосрентген""",Новомосковский,14,families_with_children,Семьи с детьми,0.200000,68.340000
"""Мосрентген""",Новомосковский,14,youth,Молодёжь,0.200000,62.500000
"""Мосрентген""",Новомосковский,14,working_adults,Работающие взрослые,0.200000,70.720000
"""Мосрентген""",Новомосковский,14,pensioners,Пенсионеры,0.200000,69.810000
"""Мосрентген""",Новомосковский,14,limited_mobility,Маломобильные группы,0.200000,71.200000
"""Мосрентген""",Новомосковский,15,families_with_children,Семьи с детьми,0.200000,65.200000
"""Мосрентген""",Новомосковский,15,youth,Молодёжь,0.200000,63.120000
"""Мосрентген""",Новомосковский,15,working_adults,Работающие взрослые,0.200000,68.130000
"""Мосрентген""",Новомосковский,15,pensioners,Пенсионеры,0.200000,65.410000
"""Мосрентген""",Новомосковский,15,limited_mobility,Маломобильные группы,0.200000,67.980000
"""Мосрентген""",Новомосковский,16,families_with_children,Семьи с детьми,0.200000,61.590000
"""Мосрентген""",Новомосковский,16,youth,Молодёжь,0.200000,52.910000
"""Мосрентген""",Новомосковский,16,working_adults,Работающие взрослые,0.200000,61.380000
"""Мосрентген""",Новомосковский,16,pensioners,Пенсионеры,0.200000,61.330000
"""Мосрентген""",Новомосковский,16,limited_mobility,Маломобильные группы,0.200000,63.140000
"""Мосрентген""",Новомосковский,17,families_with_children,Семьи с детьми,0.200000,69.370000
"""Мосрентген""",Новомосковский,17,youth,Молодёжь,0.200000,64.390000
"""Мосрентген""",Новомосковский,17,working_adults,Работающие взрослые,0.200000,71.750000
"""Мосрентген""",Новомосковский,17,pensioners,Пенсионеры,0.200000,71.980000
"""Мосрентген""",Новомосковский,17,limited_mobility,Маломобильные группы,0.200000,72.630000
"""Мосрентген""",Новомосковский,18,families_with_children,Семьи с детьми,0.200000,71.460000
"""Мосрентген""",Новомосковский,18,youth,Молодёжь,0.200000,72.570000
"""Мосрентген""",Новомосковский,18,working_adults,Работающие взрослые,0.200000,75.740000
"""Мосрентген""",Новомосковский,18,pensioners,Пенсионеры,0.200000,71.170000
"""Мосрентген""",Новомосковский,18,limited_mobility,Маломобильные группы,0.200000,74.150000
"""Мосрентген""",Новомосковский,19,families_with_children,Семьи с детьми,0.200000,69.630000
"""Мосрентген""",Новомосковский,19,youth,Молодёжь,0.200000,65.410000
"""Мосрентген""",Новомосковский,19,working_adults,Работающие взрослые,0.200000,70.140000
"""Мосрентген""",Новомосковский,19,pensioners,Пенсионеры,0.200000,69.420000
"""Мосрентген""",Новомосковский,19,limited_mobility,Маломобильные группы,0.200000,71.610000
"""Мосрентген""",Новомосковский,20,families_with_children,Семьи с детьми,0.200000,71.550000
"""Мосрентген""",Новомосковский,20,youth,Молодёжь,0.200000,66.300000
"""Мосрентген""",Новомосковский,20,working_adults,Работающие взрослые,0.200000,72.140000
"""Мосрентген""",Новомосковский,20,pensioners,Пенсионеры,0.200000,72.630000
"""Мосрентген""",Новомосковский,20,limited_mobility,Маломобильные группы,0.200000,73.500000
Академический,Юго-Западный,1,families_with_children,Семьи с детьми,0.200000,84.550000
Академический,Юго-Западный,1,youth,Молодёжь,0.200000,86.710000
Академический,Юго-Западный,1,working_adults,Работающие взрослые,0.200000,88.920000
Академический,Юго-Западный,1,pensioners,Пенсионеры,0.200000,86.220000
Академический,Юго-Западный,1,limited_mobility,Маломобильные группы,0.200000,89.040000
Академический,Юго-Западный,2,families_with_children,Семьи с детьми,0.200000,84.440000
Академический,Юго-Западный,2,youth,Молодёжь,0.200000,86.350000
Академический,Юго-Западный,2,working_adults,Работающие взрослые,0.200000,87.870000
Академический,Юго-Западный,2,pensioners,Пенсионеры,0.200000,86.200000
Академический,Юго-Западный,2,limited_mobility,Маломобильные группы,0.200000,88.190000
Академический,Юго-Западный,3,families_with_children,Семьи с детьми,0.200000,84.140000
Академический,Юго-Западный,3,youth,Молодёжь,0.200000,85.740000
Академический,Юго-Западный,3,working_adults,Работающие взрослые,0.200000,86.440000
Академический,Юго-Западный,3,pensioners,Пенсионеры,0.200000,84.720000
Академический,Юго-Западный,3,limited_mobility,Маломобильные группы,0.200000,86.320000
Академический,Юго-Западный,4,families_with_children,Семьи с детьми,0.200000,85.350000
Академический,Юго-Западный,4,youth,Молодёжь,0.200000,85.330000
Академический,Юго-Западный,4,working_adults,Работающие взрослые,0.200000,89.210000
Академический,Юго-Западный,4,pensioners,Пенсионеры,0.200000,86.170000
Академический,Юго-Западный,4,limited_mobility,Маломобильные группы,0.200000,88.970000
Академический,Юго-Западный,5,families_with_children,Семьи с детьми,0.200000,86.690000
Академический,Юго-Западный,5,youth,Молодёжь,0.200000,88.380000
Академический,Юго-Западный,5,working_adults,Работающие взрослые,0.200000,90.500000
Академический,Юго-Западный,5,pensioners,Пенсионеры,0.200000,87.540000
Академический,Юго-Западный,5,limited_mobility,Маломобильные группы,0.200000,90.120000
Академический,Юго-Западный,6,families_with_children,Семьи с детьми,0.200000,85.000000
Академический,Юго-Западный,6,youth,Молодёжь,0.200000,87.080000
Академический,Юго-Западный,6,working_adults,Работающие взрослые,0.200000,88.800000
Академический,Юго-Западный,6,pensioners,Пенсионеры,0.200000,87.150000
Академический,Юго-Западный,6,limited_mobility,Маломобильные группы,0.200000,89.310000
Академический,Юго-Западный,7,families_with_children,Семьи с детьми,0.200000,88.340000
Академический,Юго-Западный,7,youth,Молодёжь,0.200000,87.860000
Академический,Юго-Западный,7,working_adults,Работающие взрослые,0.200000,88.910000
Академический,Юго-Западный,7,pensioners,Пенсионеры,0.200000,87.780000
Академический,Юго-Западный,7,limited_mobility,Маломобильные группы,0.200000,89.380000
Академический,Юго-Западный,8,families_with_children,Семьи с детьми,0.200000,86.460000
Академический,Юго-Западный,8,youth,Молодёжь,0.200000,85.890000
Академический,Юго-Западный,8,working_adults,Работающие взрослые,0.200000,89.250000
Академический,Юго-Западный,8,pensioners,Пенсионеры,0.200000,87.610000
Академический,Юго-Западный,8,limited_mobility,Маломобильные группы,0.200000,90.050000
Академический,Юго-Западный,9,families_with_children,Семьи с детьми,0.200000,88.910000
Академический,Юго-Западный,9,youth,Молодёжь,0.200000,88.200000
